median_HHI_2019,bach_deg_pct_14to18,pop_density_per_mile,change_in_pop_decade,perc_female,perc_hispanic,brewery_per_1M_people,unemployment_rate,perc_age_25_39,LargestList
71486,35.6,354.0429568,0.06,0.51,0.03,22.9651007,2.3,0.2,FALSE
62678,27.4,474.4792192,-0.04,0.52,0.19,18.96309781,5.1,0.18,FALSE
107971,48.3,4000.712419,0.03,0.51,0.21,5.36364436,2.9,0.18,FALSE
88443,37.5,557.6789185,-0.01,0.51,0.09,17.96343991,3.3,0.19,FALSE
73168,31.8,2288.999968,-0.01,0.52,0.18,15.79557369,4,0.21,FALSE
66565,31.5,366.0694044,-0.06,0.51,0.08,65.18975652,7.2,0.15,FALSE
64522,34.8,6330.420245,0.02,0.52,0.24,7.509621703,4.5,0.21,FALSE
87996,31.9,905.6877999,0.01,0.51,0.07,24.00252369,3.7,0.19,FALSE
117275,52,290.7093888,-0.03,0.51,0.07,32.16183837,2.8,0.15,FALSE
79475,42,1636.243804,0.00,0.51,0.19,8.16482051,3.2,0.19,FALSE
92770,42.7,2670.846902,0.02,0.51,0.22,4.848120505,3.1,0.2,FALSE
102579,44.9,1319.974914,-0.02,0.51,0.11,19.39252903,3.2,0.16,FALSE
116328,53.6,1068.816999,0.00,0.51,0.14,8.132643414,2.8,0.17,FALSE
75627,29.2,965.6557689,0.05,0.52,0.10,8.234708969,3.7,0.16,FALSE
79953,35.1,5408.98352,0.04,0.51,0.33,7.189835011,3.7,0.2,FALSE
